Theme,Complete Phrase,Puzzle,About phrase
Science - 7,DNA contains the genetic instructions used to build and maintain living organisms.,@__ ________ _@_ ____@__ _@_____#__#_ u___ t_ ___#_ a__ _____#__ _____g o__@___#_.,Fun Facts
Science - 8,Some metals can remember their original shape after being bent or heated.,____ @__#__ ___ ________ __#__ ___#__@_ _h_p_ @_@__ ___#_ b_#_ _@ ______.,Fun Facts
Science - 9,Some plants can detect tiny vibrations caused by caterpillars chewing their leaves.,_@__ @_____ ___ ____#_ ___@ v_______#_ _____d b_ ______#___#_ ___@__@ _#___ l_____.,Fun Facts
Science - 10,Black holes can bend light so strongly that they create distorted images of distant stars.,_____ _#___ _#_ @___ _____ __ ____n_#_ _@__ t___ __@___ _____@_#_ _____s o_ ______@ ___#_.,Fun Facts
Science - 11,The human body gives off a tiny amount of visible light that our eyes cannot detect.,_#_ _____ _#__ _#_@_ @__ _ ____ _@____ __ @____#_ _____ _#__ _@_ e___ ___n__ ______.,Fun Facts
Science - 12,Some spiders use Earths electric fields to help them travel through the air.,@___ ____#__ _#_ ______ ___@_#_c _i_#__ t_ _@__ ____ ____@_ _____#_ @__ a__.,Fun Facts
Science - 13,The universe is expanding and distant galaxies are generally moving away from us.,_@_ _#_@____ __ _@__@____ ___ _____#_ __#__#__ a__ g________ _#____ @___ ___m u_.,Fun Facts
Science - 14,"Nothing can move through space faster than light, but space itself can expand faster than light.","______@ ___ __#_ __@____ ___#_ ______ ____ _#___, _u_ s____ _@__@_ c__ _#____ f____r @___ __#__.",Fun Facts
Science - 15,Plants can communicate chemical signals when they are attacked by insects.,__#___ ___ c_#___#____ ___m__@_ __#_a__ __#_ _@__ ___ @______@ _@ i_____s.,Fun Facts
Science - 16,Some bacteria can survive in environments that would be deadly to humans.,____ @____@__ _#_ __#___e i_ ___#______#_ t_a_ ____@ b_ __@_#_ __ __@__s.,Fun Facts
Science - 17,Honey can resist spoilage because it is acidic and contains very little water.,_____ ___ ______ _#______ _@___#_ __ _@ _#____ @__ @__#_i_s v___ l_#___ _@___.,Fun Facts
Science - 18,"Traveling to the nearest galaxy could take 25,000 years.","Tr_@___#_ _@ __@ _#__es_ _#____ __#__ _#__ 25,000 @___@.",Fun Facts
Science - 19,"If we travel 65 million light-years away from Earth, we can see dinosaurs roaming around on Earth.","__ __ ___#__ 65 _#_____ @____-_____ @___ ____ _____, w_ @__ s__ __#___#__ _@___#_ a_____ o_ @____.",Fun Facts
Science - 20,"Nothing can move through space faster than light, but space itself can expand faster than light.","_@_____ @__ ____ _____#_ @____ _____@ ____ __#__, ___ _____ _@____ ___ e___#_ ___#__ t___ l_#__.",Fun Facts
Science - 21,"Glass is technically a solid, although it has unusual molecular properties.","__@__ __ @____@_#___ _ s____, @__#____ @_ _#_ _#_____ _______#_ ___per____.",Fun Facts
Science - 22,"Water can exist as a solid, liquid, and gas under natural conditions.","__#__ ___ ____@ _@ a _#___, l_____, ___ _#_ @____ _@_#___ __@___#___.",Fun Facts
Science - 23,Sea otters hold hands while sleeping so they do not float away from each other.,_#_ ______ __#_ _@___ w____ s___p___ @_ _#__ _@ _o_ f__#_ @___ ___@ _#__ __h__.,Fun Facts
Science - 24,Some fungi can control the behavior of insects they infect.,_@__ _#___ @__ ___t___ ___ _#__#___ _f __#__#_ ___@ i@__@_.,Fun Facts
Science - 25,Rats laugh out loud when they are tickled but humans cannot hear the high frequency sound.,__#_ _#__@ ___ ___@ ____ ____ _r_ t______ b__ ____n_ _@____ ___@ _#_ __#_ __e__@_#_ s____.,Fun Facts
Science - 26,Light takes thousands of years to travel from the core of the Sun to its surface.,____@ ___#_ _____#___ __ _____ __ _#_@__ ____ t__ _#__ o_ ___ _u_ _@ _#_ __@_@__.,Fun Facts
Science - 27,Saturn would float in water if a container large enough could hold it.,@_____ ___#_ ___#_ __ __@_@ __ a ___#_i__r ____@ _#____ __#__ __@_ __.,Fun Facts
Science - 28,Pure water can conduct zero electricity without any minerals dissolved in it.,___@ _____ ___ _#__@__ ____ _#_____c___ _@_____ _n_ __#__#__ @_@___#__ i_ __.,Fun Facts
Science - 29,Diamonds can be burned and turned into pure carbon dioxide gas at high heat.,__#__@__ ___ __ _#__@_ ___ ____#_ __@_ @___ ______ _i__@__ g__ a_ _#__ _#__.,Fun Facts
Science - 30,If you removed all space inside human atoms everyone would fit in a sugar cube.,__ _#_ ____@__ ___ _____ _@____ _#___ a__#_ _#__#_@_ ____d f__ _@ _ _____ __@_.,Fun Facts
Science - 31,"Carbon exists in many forms, including diamond, graphite, and graphene.","___@__ ____@_ i_ _a__ _#__@, __@____#_ _#__#__, ___p____, ___ _@___#__.",Fun Facts
Science - 32,A teaspoon of healthy soil can contain millions of living microscopic organisms.,_ ________ __ _______ ____ c__ __#__@_ __@__o_@ __ _#_@__ @____s___#_ ___#__#__.,Fun Facts
Science - 33,Earth is the only known planet in our solar system not named after a deity.,_____ __ _#_ _@__ ___#_ ___#__ __ ___ s@_@_ ______ n_@ __@__ ___#_ a ___#_.,Fun Facts
Science - 34,The deepest parts of Earths oceans contain life despite enormous pressure.,_h_ ____#__ _a_@_ _@ E___#_ __#__s _@_@_#_ __#_ _______ ________ __@__u__.,Fun Facts
Science - 35,Magnetic fields can extend far beyond the visible surface of an object.,_____@__ __e__@ __n _x____ __@ ___#__ _#_ _#__#__ ___#_c_ o_ @_ _____@.,Fun Facts
Science - 36,Tears cannot fall down your face in outer space because there is zero gravity.,__#__ ______ ___@ d___ y_#_ _#__ i_ _@___ _@_#_ _e____@ __#__ __ @___ _____t_.,Fun Facts
Science - 37,Some insects can see ultraviolet patterns that guide them toward flowers.,__#_ __#____ ___ ___ __@_@___#__ _#__#__s t___ g__d_ @__@ @_____ f______.,Fun Facts
Science - 38,The human skeleton contains 206 bones in most fully grown adults.,___ @____ _@____#_ _____#__ 206 @_@__ i_ _#__ ___#_ _@__n a__#__.,Fun Facts
Science - 39,Mitochondria produce much of the energy that cells need to function.,_@_@__#___#_ ______@ ___@ __ ___ __#___ t___ __l_s n_#_ __ _#____@_.,Fun Facts
Science - 40,Some bacteria can use minerals and chemicals instead of sunlight for energy.,____ ___@____ ___ u__ __n_#___ __@ ______#__ __@_#_d o_ ___@__#_ @__ ___#_y.,Fun Facts
Science - 41,Earths magnetic field helps protect the planet from charged solar particles.,___#__ __@_e___ _#__@ ___#_ ______@ _#_ p_____ f_#_ ______d ___@_ ______@__.,Fun Facts
Science - 42,A vacuum does not carry sound because there are no particles to vibrate.,_ _#____ __@_ ___ @_r__ _#___ __@__#_ t_#__ a__ n_ ___#__@e_ _@ _______.,Fun Facts
Science - 43,"The universe contains billions of galaxies, each containing enormous numbers of stars.","___ __#__#__ ______@s __@_____ o_ ___#____, @___ _____i__@_ ___#__u_ __#____ __ _@_r_.",Fun Facts
Science - 44,Some crystals can generate an electric charge when they are squeezed.,__@_ __#___#_ _@_ ____r_@_ @_ _____#__ ____g_ _#__ _@__ _#_ _____z__.,Fun Facts
Science - 45,The human body produces new red blood cells inside bone marrow.,T__ ___@_ __#_ ___@____ _#_ _ed b____ @__#_ @__#__ __#_ ____@_.,Fun Facts
Science - 46,The element bismuth is radioactive but its decay takes longer than the age of Earth.,___ _@_____ @____@_ @_ _______#___ ___ ___ @____ ___#_ _#__#_ t___ ___ _#_ o_ E____.,Fun Facts
Science - 47,Some materials become highly conductive and conduct electricity with no resistance.,_@_@ _#___@___ ___#__ ______ _________@ ___ __#___t ______#____ w___ n_ ____#__@__.,Fun Facts
Science - 48,Plants can grow without soil when they receive water and necessary nutrients.,__#__@ ___ ____ __#____ _@_@ w___ _#__ r______ ___@_ @__ _#_______ ___#__nt_.,Fun Facts
Science - 49,A single lightning bolt can contain enough energy to power many homes briefly.,_ ___@__ __@____#_ ____ _#_ __#____ __@u__ @_e___ t_ __#__ _@__ ___#_ b______.,Fun Facts
Science - 50,A rainbow is actually a full circle but the ground usually hides its lower half.,_ ____#__ @_ _______@ _ __#_ ______ _#_ _#_ ___@__ _#___l_ _i_@_ ___ __w_@ ____.,Fun Facts
Camping - 1,Thomas Hiram Holding wrote the first modern camping guide in 1908 after canoeing Scotland.,___#__ _i_@_ H__@_n_ __#_e t__ __@__ _#____ @______ __#__ @_ 1908 _f__r ___#____ S_______.,Fun Facts
Camping - 2,S'mores first appeared in print in a 1927 Girl Scout handbook called Some Mores.,_'___@_ _@_#_ ___@__#_ __ _____ __ _ 1927 __#_ __#__ @_@___#_ c_____ S___ M____.,Fun Facts
Camping - 3,Sleeping outdoors for one weekend can reset your body clock to natural sunrise and sunset.,______#_ __#_____ ___ ___ _____#_ ___ _@___ _@__ _@_y __o__ t_ ___#__@ s______ @__ __#___.,Fun Facts
Camping - 4,Portaledges allow rock climbers to hang tent platforms thousands of feet up sheer cliffs.,_____#_____ _#___ __#_ ________ __ ____ __@_ ____@_@__ ______@__ o_ f___ u_ s__@r _#__#_.,Fun Facts
Camping - 5,"Mayans created hammocks over 1,000 years ago to sleep safely above ground pests.","____#_ _#_____ _#___#__ __@_ 1,000 ___r_ @_o t_ _#___ s_____ __@__ _@__@_ _____.",Fun Facts
Camping - 6,"Central Asian nomads have used portable wooden frame yurts for over 3,000 years.","_#__#__ @____ ______ ____ _@e_ @____#__ ___@__ __@__ __#__ f__ ___r 3,000 y_#__.",Fun Facts
Camping - 7,Sleeping pads prevent conductive heat loss to the cold ground far better than blankets.,__#_____ ____ _______ ___@______ _#__ _@__ t_ _#_ c_l_ ____#_ @__ b@__e_ ____ __#____@.,Fun Facts
Camping - 8,"The world's highest campsite sits near Everest's South Col at 26,000 feet altitude.","___ _____'_ __@__#_ _#____@_ ____ ____ ___#___'s @____ _#_ a_ 26,000 __e_ _#_@_u@_.",Fun Facts
Camping - 9,The lowest campsite on Earth lies near the shore of the Dead Sea below sea level.,__@ __#_@_ ___@__#_ __ _____ ____ ____ ___ __#__ @_ _#_ D___ S__ @____ ___ __#_l.,Fun Facts
Camping - 10,Pine needle tea contains up to five times more vitamin C than fresh orange juice.,____ _#____ ___ ___@__#_ __ __ ____ _____ __#_ ___a_@_ C @__@ _#_@_ __#_g_ j____.,Fun Facts
Camping - 11,"Birch bark contains betulin, a chemical that ignites even when completely soaked.","___@_ ____ _____#__ _______, a @__@____ t___ ____#__ @___ ___@ _#____#__y __#___.",Fun Facts
Camping - 12,Tracks with visible claw marks usually belong to dogs or coyotes rather than cats.,____@_ ____ __#__@_ ____ @__#_ __u____ __#___ @_ d_#_ _r _#_____ ______ @___ ___s.,Fun Facts
Camping - 13,Foxfire is a luminescent fungus that makes decaying campfire wood glow green at night.,_____@_ __ _ ____#____@_ ______ @___ _a_#_ ______@_ ____#___ w___ g___ @__#_ __ __#__.,Fun Facts
Camping - 14,Cast iron Dutch ovens retain campfire heat so evenly they act as portable baking ovens.,____ ____ _#__@ _@___ ____#_ ________ __#_ s_ ___#__ _@__ a__ @_ _or___@_ ____#_ _v___.,Fun Facts
Camping - 15,The North Face built the first geodesic dome tent in 1975 using Buckminster Fuller math.,___ _____ ___@ _#__t __@ f____ ____e___ __#_ __#_ _@ 1975 __@_g _____i__#__ @__l__ _#__.,Fun Facts
Camping - 16,Thermals blow up mountain slopes during daytime heating and down valleys at cold night.,_@___@_@ _@__ __ ___#____ ______ d_____ __#___e h______ a__ ____ _@_l_#_ __ _#__ _#___.,Fun Facts
Camping - 17,Campers in the 1970s began reusing laboratory sample bottles as leakproof canteens.,__@_#__ __ @__ 1970s ___@_ _#____@ ___#______ ___p__ _______ _@ _e___#___ _#______.,Fun Facts
Camping - 18,Vibram rubber boot soles were created in 1937 after a tragic alpine climbing accident.,___@__ ______ __#_ __#__ _@__ ___a_#_ i_ 1937 __@_r _ _@__#_ ______ ______#_ ____@___.,Fun Facts
Camping - 19,Snow reflects up to eighty percent of solar ultraviolet radiation back onto your face.,__@_ ______#_ __ __ ______ ____#__ _@ s____ ___#_____@_ ___#____@ ba__ _#__ __u_ _@__.,Fun Facts
Camping - 20,"Aromatic oils inside red cedar wood naturally repel moths, ants, and outdoor insects.","@__#___@ ____ ___#__ ___ _____ ____ _@_#_____ ____@ m____, __t_, _#_ @___#__ i______.",Fun Facts
Camping - 21,Tim Leatherman designed his first pocket multi-tool after repairing his car in Europe.,_#_ @____#____ _@______ ___ ___#_ ____@_ __#__-____ a____ ____i_@__ @__ c__ __ ____#_.,Fun Facts
Camping - 22,Unemployed Boeing engineers invented self-inflating camping mattresses back in 1972.,_@___#____ _@____ ____n__#_ @_v_#___ s___-_______@_ ______@ ___#______ __#_ i_ 1972.,Fun Facts
Camping - 23,Deer and elk are drawn to campsites to lick human salt residue left on gear and clothes.,____ ___ _#_ ___ __@_@ __ ___@_____ __ _#__ ___@_ __#_ ___#__e l___ @_ ___r a__ c___#__.,Fun Facts
Camping - 24,Scotland features hundreds of unlocked mountain shelters called bothies free for hikers.,______#_ ________ _______@ __ __@___#_ __#____@ _____#__ ____@_ __#____ f___ ___ h__e@_.,Fun Facts
Camping - 25,Paracord 550 was first used as suspension lines for parachutes during World War II.,_@__#___ 550 __s __#__ u___ a_ ____#_____ __@__ _@_ __#__#____ ___i__ W_@__ @__ __.,Fun Facts
Camping - 26,Dry fluff from seed heads of cattail plants serves as an instantly igniting fire tinder.,_#_ _#___ ____ __@_ ____@ __ ___@___ ____#_ _#____ a_ __ ______#__ @__@____ f___ _i____.,Fun Facts
Camping - 27,Karl Elsener made the first Swiss Army Knife in 1891 to help soldiers open canned food.,_#__ ______@ ____ @__ __@__ _#___ __#_ _____ __ 1891 t_ h___ __#___@_ _@_n _#____ f___.,Fun Facts
Camping - 28,Mosquitoes track human breath by sensing carbon dioxide plumes up to 150 feet away.,______#___ ____@ ___#_ ___@__ __ _______ __#___ __#_i_@ _@____ u_ t_ 150 _#__ a__@.,Fun Facts
Camping - 29,Goose down insulation loses almost all warming ability when it gets wet outdoors.,____@ ____ __#__#__@_ ___#_ _@__#_ ___ ____@__ _______ ___@ i_ __#_ w__ o_______.,Fun Facts
Camping - 30,Wool fibers can absorb thirty percent of their weight in water while still keeping you warm.,_#__ ______ ___ @_____ _#___@ _#___@_ __ ___@_ _____@ __ _____ w____ _t__l ____#__ _#_ ___m.,Fun Facts
Camping - 31,Bear-resistant food canisters require complex finger twists that bears cannot mirror.,____-@______#_ ____ _______#_ ___u_@_ __m____ __n__@ @_____ __#_ _#_r_ c_____ __#__@.,Fun Facts
Camping - 32,"The word bivy comes from the Swiss military term Biwak, meaning emergency night shelter.","___ ____ ____ _____ f___ @__ ___s_ __#_____ _@__ __@__, _@__#__ __#___n@_ ___#_ ___#__r.",Fun Facts
Camping - 33,"A quinzhee snow shelter is made by piling snow, settling it, and digging out the inside.","_ ___@___@ _@__ _____#_ __ _#__ __ ______ __#_, ___#_@__ __, a__ __#___@ o__ t__ ___i__.",Fun Facts
Camping - 34,Body warmth trapped inside a well-built ice igloo can raise internal temperature to 60?F.,____ _#_@__ _#_____ _@____ _ _#__-_#___ i__ @____ c__ r____ _____#__ t_@__@____e __ 60?F.,Fun Facts
Camping - 35,The official Leave No Trace program was established in 1994 to protect wild wilderness.,___ ___@____ __#__ __ _#___ _#____@ w__ ___@_______ i_ 1994 _@ __#___t __l_ _@___#__s_.,Fun Facts
Camping - 36,The Bortle scale rates night sky darkness from Class 1 pristine to Class 9 bright city.,___ __#___ ____@ ___@_ __g_t _@_ ___#____ _#__ C____ 1 _r___#__ _@ ___#_ 9 ___@__ ___y.,Fun Facts
Camping - 37,Tensile tree tents suspend campers off the ground using three anchor points on trees.,___#__@ ____ _@___ _______ __@____ __@ _#_ _#____ _____ t____ @__h_r ___#_s o_ __#__.,Fun Facts
Camping - 38,"Friction fire bow drills date back over 4,000 years to ancient Egyptian civilization.","_____#__ _#__ ___ _____@ _@_@ ____ _#__ 4,000 __a__ t_ _______ _____@__ _#_____#_@__.",Fun Facts
Camping - 39,Rooftop car tents were patented in Italy during 1958 for safe desert overland travel.,____#__ ___ _____ _@_@ __@__#__ __ I__@_ _u_#__ 1958 f__ __#_ d_____ o____#__ ___@__.,Fun Facts
Camping - 40,Cowboy coffee is made by boiling grounds in water and settling them with cold drops.,__#___ _#____ __ __#_ __ @______ _______ __ __#__ a__ __#__@__ t___ w___ co@_ _@_@_.,Fun Facts
Camping - 41,Wood smoke smell clings to clothing because tar molecules bind tightly to fabric fibers.,___@ _____ _____ _#____ __ _#___@__ _______ @_r _____#_e_ _#__ @__@___ t_ f_____ ___#__.,Fun Facts
Camping - 42,"Freeze-dried meals lose 98% of water weight, making them ultra lightweight for backpacking.","_@____-__#__ __@__ ____ 98% __ _____ __#___, __@___ t___ __@_a ___#__e@___ fo_ b_#__#_____.",Fun Facts
Camping - 43,Paul Revere is credited with adding legs and a rimmed lid to the classic cast iron Dutch oven.,____ @__#__ __ ___#____ __@_ __@___ __#_ _#_ _ _i____ __@ to ___ c______ __@_ _#__ _____ ____.,Fun Facts
Camping - 44,Wearing a warm winter hat keeps your feet warm by preventing body heat loss from the head.,__#____ _ ____ ______ ___ @___s _#__ __@_ w___ @_ ________@_ _#__ __#_ l___ __#_ _h_ @___.,Fun Facts
Camping - 45,"Gorp stands for Good Old Raisins and Peanuts, a classic trail snack since the 1960s.","_@__ @_____ ___ ____ ___ __@____ _@_ _#___@_, a ___#___ ___#_ s_#__ __#__ t__ 1960_.",Fun Facts
Camping - 46,Mountain pikas gather and dry grass stacks in summer to feed on while winter camping under snow.,______@_ __#__ ______ ___ ___ _____ __@___ __ @_____ __ _#__ o_ __#__ _#__#_ c______ _@__r @__w.,Fun Facts
Camping - 47,Traditional Plains tipis use smoke flaps that create a chimney draft to vent indoor fires.,__@___#____ ______ __#__ ___ __@__ _____ ____ _____@ _ ___#___ ___#_ t_ v___ @___@_ _i_#_.,Fun Facts
Camping - 48,Overnight Antarctic tourists must sleep in double sleeping bags inside snow trenches.,_#___#___ @_____#__ @____@__ ____ _____ i_ @__b__ ___@____ ____ ______ __#_ ____#___.,Fun Facts
Camping - 49,Certified Dark Sky Parks strictly ban artificial lights to preserve natural night views.,___@_____ ____ ___ _@___ @____#__ ___ ___i__#_@_ l_____ t_ _r__#___ ____@__ _#___ __#__.,Fun Facts
Camping - 50,US public lands allow free dispersed camping outside developed sites for up to 14 days.,__ ______ ____@ __#__ __#_ __#______ _a_#___ @_@____ _____#___ s____ f__ u_ @_ 14 __@_.,Fun Facts
